gt,exp,err
2.93,2.670856678502052,-0.25914332149794816
2.87,2.652786998585187,-0.21721300141481326
2.75,2.6168110077506865,-0.13318899224931346
2.62,2.578736337933301,-0.04126366206669907
2.57,2.565983154016165,-0.004016845983835005
2.5,2.129485159413621,-0.3705148405863792
2.43,2.10596461799837,-0.3240353820016302
2.37,2.0852721065892994,-0.2847278934107007
2.25,2.0423509895751866,-0.20764901042481343
2.12,1.995055898611322,-0.12494410138867806
2.07,1.9729438936918815,-0.09705610630811834
2.0,1.67760240555263,-0.32239759444737004
1.93,1.564851247502008,-0.36514875249799195
1.87,1.5456035772156242,-0.32439642278437586
1.75,1.5033846046871076,-0.24661539531289245
1.62,1.4638766047263312,-0.15612339527366892
1.57,1.3593665928971477,-0.2106334071028524
1.5,1.3409814476577742,-0.15901855234222584
1.43,1.3177939033628894,-0.11220609663711056
1.37,1.301047933950504,-0.068952066049496
1.25,1.168069715301544,-0.08193028469845598
1.12,1.0584098207845585,-0.06159017921544163
1.07,1.0490220571183573,-0.020977942881642786
1.0,1.0381678141736776,0.03816781417367765
0.93,1.0257596707713392,0.09575967077133918
0.869999999999999,1.016145544675448,0.14614554467544894
0.75,0.88569614128365,0.13569614128365004
0.619999999999999,0.7467347383331381,0.12673473833313909
0.57,0.7354044130325101,0.1654044130325102
0.5,0.6104711509909045,0.11047115099090454
0.43,0.5852493109499736,0.15524931094997357
0.369999999999999,0.5613840090526537,0.19138400905265474
0.25,0.512679819701511,0.262679819701511
0.119999999999999,0.3721299864918761,0.2521299864918771
0.0700000000000003,0.3505780853564785,0.2805780853564782
-0.0,0.32012856634604303,0.32012856634604303
-0.0700000000000003,-0.023038788036217568,0.04696121196378273
-0.130000000000001,-0.054148713418531426,0.07585128658146958
-0.25,-0.11748625618478399,0.13251374381521602
-0.380000000000001,-0.6745351598754127,-0.2945351598754117
-0.43,-0.6886498641850698,-0.2586498641850698
-0.5,-0.7181124256847716,-0.21811242568477163
-0.57,-0.8268957736524328,-0.2568957736524329
-0.630000000000001,-0.851391755457228,-0.221391755457227
-0.75,-0.8938831831375093,-0.14388318313750925
-0.880000000000001,-1.2124823462061995,-0.33248234620619854
-0.93,-1.2243348656822164,-0.29433486568221634
-1.0,-1.2462988360699956,-0.24629883606999559
-1.07,-1.3475009723696618,-0.27750097236966176
-1.13,-1.3626285361904014,-0.23262853619040147
-1.25,-1.4811345189664726,-0.23113451896647264
-1.38,-1.5122384341284152,-0.1322384341284153
-1.43,-1.5225578465744556,-0.09255784657445565
-1.5,-1.6297012373038355,-0.12970123730383554
-1.57,-1.6467625177790637,-0.07676251777906362
-1.63,-1.6621691269708807,-0.03216912697088081
-1.75,-1.6947001786094023,0.05529982139059775
-1.88,-1.729105814541872,0.15089418545812783
-1.93,-1.7400176347361886,0.1899823652638113
-2.0,-1.9986048069274458,0.0013951930725542017
-2.07,-2.016032707229597,0.053967292770402686
-2.13,-2.033147568998081,0.09685243100191876
-2.25,-2.2956123009575946,-0.04561230095759461
-2.38,-2.3393874027880304,0.040612597211969526
-2.43,-2.3582763294332274,0.07172367056677276
-2.5,-2.384350050706756,0.1156499492932439
-2.57,-2.494321417798492,0.0756785822015078
-2.63,-2.5166471329629174,0.11335286703708247
-2.75,-2.783413869538784,-0.033413869538784
-2.88,-2.9328279436808047,-0.05282794368080479
-2.93,-2.9514525191309926,-0.021452519130992442
-3.0,-2.984723982013163,0.015276017986836976
-3.07,-3.0181687422871253,0.05183125771287456
-3.13,-3.047940317194107,0.08205968280589282
-3.25,-3.388997357109806,-0.13899735710980599
-3.38,-3.683576786748322,-0.3035767867483221
-3.43,-3.6982499671718663,-0.2682499671718661
-3.5,-3.7245156808030564,-0.2245156808030564
-3.57,-3.7529348933236557,-0.18293489332365587
-3.63,-3.7764502636923063,-0.1464502636923064
-3.75,-4.058464143986363,-0.3084641439863631
-3.88,-4.101382099290685,-0.2213820992906852
-3.93,-4.116810798360749,-0.186810798360749
-4.0,-4.140640944226824,-0.14064094422682416
-4.07,-4.3368587353968575,-0.2668587353968572
-4.13,-4.358360972297646,-0.2283609722976463
-4.25,-4.399722788367887,-0.1497227883678871
-4.38,-4.450006548881969,-0.07000654888196944
-4.43,-4.464235665798684,-0.03423566579868442
-4.5,-4.5769874345571555,-0.07698743455715551
-4.57,-4.604895127898353,-0.03489512789835292
-4.63,-4.628755391179853,0.0012446088201469863
-4.75,-4.887572802223862,-0.13757280222386203
-4.88,-5.026615763464514,-0.14661576346451444
-4.93,-5.0335808140692615,-0.10358081406926178
-5.0,-5.161676261037578,-0.16167626103757815
-5.07,-5.181263620955503,-0.11126362095550313
-5.13,-5.201151900766314,-0.07115190076631439
-5.25,-5.338297963564482,-0.08829796356448227
-5.38,-5.359637154816052,0.020362845183948153
-5.43,-5.471427655859824,-0.041427655859823886
-5.5,-5.489948801450845,0.010051198549154705
-5.57,-5.503192929708804,0.0668070702911967
-5.63,-5.604350190955416,0.025649809044583805
