freq(GHz),Ground truth,Naive-MLP prediction,FF-MLP prediction
29.5,0.8826,0.8884,0.8836
29.52,0.8849,0.8904,0.8858
29.54,0.8872,0.893,0.8881
29.56,0.8895,0.8949,0.8904
29.58,0.8918,0.8983,0.8926
29.6,0.894,0.9003,0.8948
29.62,0.8963,0.9024,0.8971
29.64,0.8985,0.9041,0.8993
29.66,0.9008,0.9056,0.9015
29.68,0.903,0.907,0.9037
29.7,0.9052,0.9103,0.9058
29.72,0.9074,0.9118,0.908
29.74,0.9096,0.9141,0.9101
29.76,0.9117,0.9159,0.9122
29.78,0.9138,0.918,0.9143
29.8,0.9159,0.919,0.9164
29.82,0.918,0.9209,0.9184
29.84,0.9201,0.9234,0.9204
29.86,0.9221,0.9245,0.9223
29.88,0.9241,0.9257,0.9243
29.9,0.926,0.9279,0.9262
29.92,0.9279,0.9289,0.9281
29.94,0.9298,0.9304,0.9299
29.96,0.9317,0.9327,0.9317
29.98,0.9335,0.9338,0.9335
30.0,0.9352,0.9349,0.9352
30.02,0.9369,0.9357,0.9368
30.04,0.9386,0.9379,0.9384
30.06,0.9402,0.9385,0.94
30.08,0.9418,0.9404,0.9415
30.1,0.9433,0.9411,0.943
30.12,0.9448,0.9417,0.9444
30.14,0.9462,0.942,0.9458
30.16,0.9476,0.9436,0.9471
30.18,0.9489,0.9451,0.9483
30.2,0.9501,0.9457,0.9495
30.22,0.9513,0.9471,0.9507
30.24,0.9524,0.9475,0.9517
30.26,0.9535,0.9484,0.9527
30.28,0.9545,0.948,0.9537
30.3,0.9554,0.9495,0.9545
30.32,0.9563,0.9491,0.9554
30.34,0.9571,0.9497,0.9561
30.36,0.9578,0.9504,0.9568
30.38,0.9585,0.9503,0.9574
30.4,0.9591,0.9504,0.958
30.42,0.9596,0.9516,0.9585
30.44,0.9601,0.9513,0.9589
30.46,0.9604,0.9517,0.9592
30.48,0.9608,0.9512,0.9595
30.5,0.961,0.9502,0.9597
30.52,0.9612,0.9499,0.9598
30.54,0.9613,0.9505,0.9599
30.56,0.9613,0.9499,0.9599
30.58,0.9612,0.9498,0.9598
30.6,0.9611,0.9496,0.9596
30.62,0.9609,0.9492,0.9594
30.64,0.9606,0.9488,0.9591
30.66,0.9603,0.9485,0.9588
30.68,0.9599,0.9471,0.9584
30.7,0.9594,0.9465,0.9579
30.72,0.9589,0.9462,0.9573
30.74,0.9583,0.9453,0.9568
30.76,0.9576,0.945,0.9561
