gt,exp,err
2.07,2.192607408894151,0.12260740889415134
2.0,2.1667171778397574,0.16671717783975737
1.79,1.7743901061900438,-0.015609893809956255
1.5,1.5613087905673773,0.06130879056737726
1.47,1.5477866767228132,0.07778667672281325
1.27,1.2829362324332685,0.012936232433268469
1.17,1.2443733209780596,0.07437332097805971
1.02,0.6289830282418158,-0.3910169717581842
1.0,0.6261872142393052,-0.37381278576069477
0.8700000000000001,0.5791570517145637,-0.29084294828543644
0.79,0.5485747305222546,-0.24142526947774545
0.77,0.5380094720288504,-0.2319905279711496
0.5700000000000011,0.3861286272620461,-0.18387137273795495
0.52,0.3740004439361311,-0.14599955606386894
0.29000000000000004,0.07566042974529985,-0.21433957025470018
0.270000000000002,0.07278994220204815,-0.19721005779795386
0.01999999999999999,-0.10922599879861217,-0.12922599879861216
0.0,-0.11533387330814193,-0.11533387330814193
-0.2100000000000004,-0.2903216995762268,-0.08032169957622637
-0.23,-0.38325117651342566,-0.15325117651342565
-0.3299999999999996,-0.40883060858366527,-0.07883060858366564
-0.48,-0.45626615971636575,0.023733840283634233
-0.5,-0.46146949345589405,0.03853050654410595
-0.63,-0.6028260065987183,0.027173993401281682
-0.71,-0.6182021605259109,0.09179783947408904
-0.98,-1.1651135556498513,-0.18511355564985132
-1.0,-1.1710993097271025,-0.17109930972710252
-1.21,-1.2530978336689476,-0.043097833668947594
-1.23,-1.2657486618535962,-0.035748661853596264
-1.48,-1.4496528724663804,0.030347127533619567
-1.5,-1.5433548089740334,-0.04335480897403343
-1.53,-1.5594909148344893,-0.02949091483448929
-1.71,-1.7110649987321587,-0.0010649987321587062
-1.73,-1.720103824359425,0.009896175640574878
-1.83,-1.7569277718195266,0.07307222818047343
-1.98,-2.0894128809634545,-0.10941288096345447
-2.0,-2.0908160067129895,-0.0908160067129895
-2.13,-2.1263826209376067,0.0036173790623932334
-2.21,-2.3943475094748194,-0.18434750947481948
-2.23,-2.400465123134733,-0.17046512313473317
-2.43,-2.455308291468448,-0.02530829146844793
-2.48,-2.468204140573956,0.011795859426043886
-2.5,-2.4725833874384584,0.027416612561541598
-2.73,-2.629373370367656,0.10062662963234414
-3.0,-3.055718666593581,-0.055718666593580934
-3.03,-3.063095356932692,-0.033095356932692166
-3.21,-3.455092697554557,-0.24509269755455687
-3.23,-3.4616784412859936,-0.23167844128599357
-3.33,-3.5958013553136023,-0.26580135531360227
-3.5,-3.770374963044709,-0.2703749630447092
-3.63,-3.8250009032938124,-0.19500090329381248
-3.73,-4.095154554843537,-0.3651545548435373
-3.93,-4.270699341174824,-0.3406993411748238
-3.98,-4.282561085538301,-0.3025610855383012
-4.0,-4.290451141295591,-0.29045114129559124
-4.21,-4.450911647908596,-0.24091164790859576
-4.23,-4.454201299126925,-0.22420129912692488
-4.48,-4.812739180514551,-0.332739180514551
-4.5,-4.821097145387116,-0.32109714538711565
-4.710000000000001,-4.889242426598008,-0.17924242659800704
-4.73,-4.895221760116504,-0.1652217601165038
-4.83,-4.9304473294214315,-0.10044732942143142
-4.98,-4.9802672709231945,-0.0002672709231941184
-5.130000000000001,-5.1318627164335044,-0.001862716433503664
-5.210000000000001,-5.240083937561858,-0.0300839375618569
-5.23,-5.243719248719357,-0.013719248719356258
-5.430000000000001,-5.502016539560308,-0.07201653956030718
