f1_db,f2_db,f3_db,angle
0.37,1.87,5.1,2.7
0.61,1.59,4.71,2.75
0.86,1.31,4.32,2.8
1.11,1.04,3.95,2.85
1.35,0.76,3.58,2.9
1.6,0.49,3.23,2.95
1.85,0.22,2.87,3.0
2.1,0.05,2.53,3.05
2.36,0.32,2.19,3.1
2.61,0.58,1.85,3.15
2.87,0.85,1.52,3.2
3.13,1.12,1.19,3.25
3.39,1.38,0.86,3.3
3.55,1.65,0.53,3.35
3.28,1.92,0.21,3.4
3.01,2.19,0.11,3.45
2.74,2.46,0.44,3.5
2.48,2.73,0.76,3.55
2.23,3.01,1.09,3.6
1.98,3.29,1.41,3.65
1.73,3.57,1.74,3.7
1.48,3.85,2.07,3.75
1.23,4.14,2.41,3.8
0.99,4.04,2.75,3.85
0.75,3.69,3.09,3.9
0.51,3.35,3.44,3.95
0.27,3.01,3.8,4.0
0.03,2.69,4.16,4.05
0.21,2.37,4.53,4.1
0.45,2.05,4.9,4.15
0.69,1.74,5.29,4.2
0.93,1.44,5.31,4.25
1.17,1.14,4.87,4.3
1.42,0.85,4.45,4.35
1.66,0.55,4.04,4.4
1.91,0.27,3.64,4.45
2.17,0.02,3.24,4.5
2.42,0.31,2.86,4.55
2.68,0.59,2.48,4.6
2.94,0.88,2.11,4.65
3.21,1.16,1.74,4.7
3.49,1.44,1.37,4.75
3.76,1.73,1.01,4.8
3.68,2.02,0.66,4.85
3.38,2.3,0.3,4.9
3.08,2.59,0.05,4.95
2.79,2.89,0.4,5.0
2.5,3.18,0.75,5.05
2.22,3.48,1.11,5.1
1.94,3.78,1.46,5.15
1.67,4.09,1.81,5.2
1.39,4.41,2.17,5.25
1.12,4.14,2.53,5.3
0.85,3.79,2.89,5.35
0.58,3.44,3.26,5.4
0.31,3.11,3.64,5.45
0.05,2.78,4.02,5.5
0.22,2.45,4.4,5.55
0.49,2.13,4.8,5.6
0.76,1.82,5.2,5.65
1.02,1.51,5.62,5.7
1.3,1.2,5.48,5.75
1.57,0.9,5.05,5.8
1.84,0.6,4.63,5.85
2.12,0.3,4.22,5.9
2.4,0.0,3.82,5.95
2.68,0.3,3.43,6.0
2.97,0.6,3.04,6.05
3.26,0.89,2.66,6.1
3.56,1.19,2.29,6.15
3.87,1.49,1.92,6.2
3.88,1.79,1.55,6.25
3.6,2.1,1.19,6.3
3.32,2.41,0.83,6.35
3.05,2.72,0.46,6.4
2.78,3.03,0.1,6.45
2.51,3.35,0.26,6.5
2.24,3.68,0.62,6.55
1.98,4.01,0.98,6.6
1.72,4.35,1.35,6.65
1.46,4.69,1.72,6.7
1.21,4.45,2.1,6.75
0.95,4.16,2.48,6.8
0.7,3.87,2.87,6.85
0.44,3.59,3.27,6.9
0.19,3.3,3.67,6.95
0.07,3.02,4.08,7.0
0.32,2.74,4.51,7.05
0.58,2.46,4.95,7.1
0.84,2.19,5.31,7.15
1.1,1.91,4.95,7.2
1.36,1.63,4.59,7.25
1.62,1.36,4.24,7.3
1.88,1.08,3.9,7.35
2.15,0.8,3.57,7.4
2.42,0.52,3.24,7.45
2.7,0.24,2.91,7.5
2.98,0.04,2.59,7.55
3.26,0.33,2.28,7.6
3.55,0.61,1.96,7.65
3.84,0.9,1.65,7.7
4.14,1.2,1.34,7.75
4.11,1.49,1.03,7.8
3.88,1.8,0.72,7.85
3.65,2.1,0.41,7.9
3.43,2.41,0.1,7.95
3.2,2.73,0.21,8.0
2.98,3.06,0.53,8.05
2.76,3.39,0.84,8.1
2.54,3.6,1.16,8.15
2.32,3.43,1.48,8.2
2.11,3.27,1.81,8.25
1.89,3.11,2.14,8.3
1.67,2.94,2.48,8.35
1.46,2.77,2.82,8.4
1.24,2.6,3.18,8.45
1.02,2.44,3.54,8.5
0.81,2.26,3.91,8.55
