Ground truth1,Ground truth2,Prediction1,Prediction2
-6.75,-6.25,-6.8869586,-6.249123
-6.88,-6.38,-6.9954963,-6.3567996
-6.93,-6.43,-7.0279593,-6.4825306
-7.0,-6.5,-7.1341953,-6.574692
-7.07,-6.57,-7.224754,-6.622688
-7.13,-6.63,-7.285959,-6.662088
-7.25,-6.75,-7.4840856,-6.8189454
-7.38,-6.88,-7.6259556,-6.8502045
-7.43,-6.93,-7.631846,-6.9034314
-7.5,-7.0,-7.707036,-6.949015
-7.57,-7.07,-7.736129,-6.9773154
-7.63,-7.13,-7.792235,-6.97224
-7.75,-7.25,-7.910196,-7.014304
-7.88,-7.38,-8.045776,-7.0335913
-7.93,-7.43,-8.080456,-7.0235877
-8.0,-7.5,-8.197234,-7.0431767
-8.07,-7.57,-8.267798,-7.0826383
-8.13,-7.63,-8.314475,-7.1734705
-8.25,-7.75,-8.385501,-7.3680005
-8.38,-7.88,-8.497925,-7.6146927
-8.43,-7.93,-8.507037,-7.652438
-8.5,-8.0,-8.58746,-7.792792
-8.57,-8.07,-8.669517,-7.9407988
-8.63,-8.13,-8.760386,-8.019523
-8.75,-8.25,-8.882511,-8.189622
-8.88,-8.38,-9.098525,-8.349337
-8.93,-8.43,-9.113132,-8.376235
-9.0,-8.5,-9.244094,-8.478524
-9.07,-8.57,-9.375419,-8.556174
-9.13,-8.63,-9.49837,-8.578291
-9.25,-8.75,-9.5892515,-8.721626
-9.38,-8.88,-9.709697,-8.818465
-9.43,-8.93,-9.703073,-8.87437
-9.5,-9.0,-9.796208,-8.941287
-9.57,-9.07,-9.875999,-8.992957
-9.63,-9.13,-9.939771,-8.977635
-9.75,-9.25,-10.023919,-9.060683
-9.88,-9.38,-10.180226,-9.059083
-9.93,-9.43,-10.178723,-9.148134
-10.0,-9.5,-10.235671,-9.241115
-10.07,-9.57,-10.267022,-9.3578615
-10.13,-9.63,-10.302114,-9.392721
-10.25,-9.75,-10.317339,-9.59026
-10.38,-9.88,-10.424985,-9.73107
-10.43,-9.93,-10.415252,-9.86667
-10.5,-10.0,-10.483277,-9.936141
-10.57,-10.07,-10.5643215,-10.031981
-10.63,-10.13,-10.6311,-10.067568
-10.75,-10.25,-10.713162,-10.238251
-10.88,-10.38,-10.866761,-10.312808
-10.93,-10.43,-10.901226,-10.399489
-11.0,-10.5,-10.99684,-10.459752
-11.07,-10.57,-11.120601,-10.5103445
-11.13,-10.63,-11.211356,-10.514419
-11.25,-10.75,-11.422776,-10.6744795
-11.38,-10.88,-11.656858,-10.678628
-11.43,-10.93,-11.658832,-10.697141
-11.5,-11.0,-11.880665,-10.722547
